Instance Type,PricePerUnit
t2.small,0.023
t2.large,0.0928
r5.2xlarge,0.504
r3.4xlarge,1.33
z1d.12xlarge,4.464
m5a.large,0.086
m5.12xlarge,2.304
m4.xlarge,0.2
r3.2xlarge,0.665
r5d.24xlarge,6.912
m5d.large,0.113
m5d.2xlarge,0.452
c5n.4xlarge,0.864
m1.small,0.044
r3.8xlarge,2.66
g2.2xlarge,0.65
i3.4xlarge,1.248
r5a.2xlarge,0.452
h1.4xlarge,0.936
m3.medium,0.067
a1.medium,0.0255
t3.large,0.0832
r4.8xlarge,2.128
r5a.24xlarge,5.424
h1.2xlarge,0.468
r5a.large,0.113
c3.4xlarge,0.84
r5.24xlarge,6.048
c4.xlarge,0.199
i3.large,0.156
c5n.xlarge,0.216
m3.large,0.133
r5.12xlarge,3.024
r4.2xlarge,0.532
i3.xlarge,0.312
r4.large,0.133
g3.4xlarge,1.14
z1d.2xlarge,0.744
i2.8xlarge,6.82
h1.16xlarge,3.744
t2.medium,0.0464
x1e.2xlarge,1.668
m5a.2xlarge,0.344
r5.large,0.126
f1.16xlarge,13.2
c5d.xlarge,0.192
c1.medium,0.13
c3.8xlarge,1.68
m5.metal,4.608
c5d.9xlarge,1.728
z1d.xlarge,0.372
m1.large,0.175
m5a.4xlarge,0.688
m5.large,0.096
hs1.8xlarge,4.6
i2.4xlarge,3.41
m5d.xlarge,0.226
r4.4xlarge,1.064
x1e.8xlarge,6.672
g3.8xlarge,2.28
d2.xlarge,0.69
m5.2xlarge,0.384
c5n.18xlarge,3.888
m4.2xlarge,0.4
m5.24xlarge,4.608
c5n.2xlarge,0.432
f1.4xlarge,3.3
c5d.18xlarge,3.456
c4.large,0.1
r5d.large,0.144
x1e.32xlarge,26.688
t2.xlarge,0.1856
r5.4xlarge,1.008
c5n.9xlarge,1.944
a1.2xlarge,0.204
c5.4xlarge,0.68
z1d.metal,4.464
c5d.2xlarge,0.384
m5a.24xlarge,4.128
t3.small,0.0208
m5d.metal,5.424
i3.8xlarge,2.496
c3.2xlarge,0.42
t1.micro,0.02
m2.4xlarge,0.98
x1.32xlarge,13.338
r5d.2xlarge,0.576
r4.xlarge,0.266
i3.metal,4.992
m2.2xlarge,0.49
m5.4xlarge,0.768
t3.xlarge,0.1664
m1.medium,0.087
c5n.large,0.108
i3.2xlarge,0.624
c4.4xlarge,0.796
d2.4xlarge,2.76
x1.16xlarge,6.669
r5d.xlarge,0.288
t3.medium,0.0416
x1e.4xlarge,3.336
g3.16xlarge,4.56
g2.8xlarge,2.6
m5.xlarge,0.192
r3.xlarge,0.333
t3.2xlarge,0.3328
m5d.24xlarge,5.424
c5.18xlarge,3.06
g3s.xlarge,0.75
r5a.12xlarge,2.712
z1d.6xlarge,2.232
x1e.xlarge,0.834
p2.xlarge,0.9
m4.10xlarge,2.0
c1.xlarge,0.52
m3.2xlarge,0.532
m3.xlarge,0.266
m4.16xlarge,3.2
c3.large,0.105
x1e.16xlarge,13.344
d2.8xlarge,5.52
t3.nano,0.0052
m5a.12xlarge,2.064
m5a.xlarge,0.172
t2.nano,0.0058
c4.2xlarge,0.398
a1.4xlarge,0.408
t2.micro,0.0116
r4.16xlarge,4.256
i2.xlarge,0.853
p3dn.24xlarge,31.212
cc2.8xlarge,2.0
h1.8xlarge,1.872
r5d.4xlarge,1.152
c5d.4xlarge,0.768
cr1.8xlarge,3.5
r5a.xlarge,0.226
z1d.3xlarge,1.116
m4.4xlarge,0.8
r5a.4xlarge,0.904
r5d.metal,6.912
c3.xlarge,0.21
d2.2xlarge,1.38
p3.16xlarge,24.48
i2.2xlarge,1.705
r3.large,0.166
t2.2xlarge,0.3712
p2.16xlarge,14.4
m1.xlarge,0.35
c5.xlarge,0.17
i3.16xlarge,4.992
c4.8xlarge,1.591
m4.large,0.1
c5d.large,0.096
c5.2xlarge,0.34
m5d.12xlarge,2.712
c5.9xlarge,1.53
m5d.4xlarge,0.904
a1.xlarge,0.102
c5.large,0.085
r5.xlarge,0.252
r5d.12xlarge,3.456
p2.8xlarge,7.2
p3.8xlarge,12.24
f1.2xlarge,1.65
r5.metal,6.048
t3.micro,0.0104
m2.xlarge,0.245
p3.2xlarge,3.06
a1.large,0.051
z1d.large,0.186
